序号	汉字	拼音
1	一	yi
2	丁	ding
3	七	qi
4	万	wan
5	丈	zhang
6	三	san
7	上	shang
8	下	xia
9	不	bu
10	与	yu
11	丐	gai
12	丑	chou
13	专	zhuan
14	且	qie
15	世	shi
16	丘	qiu
17	丙	bing
18	业	ye
19	丛	cong
20	东	dong
21	丝	si
22	丢	diu
23	两	liang
24	严	yan
25	丧	sang
26	个	ge
27	中	zhong
28	丰	feng
29	串	chuan
30	临	lin
31	丸	wan
32	丹	dan
33	为	wei
34	主	zhu
35	丽	li
36	举	ju
37	乃	nai
38	久	jiu
39	么	me
40	义	yi
41	之	zhi
42	乌	wu
43	乍	zha
44	乎	hu
45	乏	fa
46	乐	le
47	乒	ping
48	乓	pang
49	乔	qiao
50	乖	guai
51	乘	cheng
52	乙	yi
53	九	jiu
54	乞	qi
55	也	ye
56	习	xi
57	乡	xiang
58	书	shu
59	买	mai
60	乱	luan
61	乳	ru
62	乾	qian
63	了	le
64	予	yu
65	争	zheng
66	事	shi
67	二	er
68	于	yu
69	亏	kui
70	云	yun
71	互	hu
72	五	wu
73	井	jing
74	亚	ya
75	些	xie
76	亡	wang
77	交	jiao
78	亥	hai
79	亦	yi
80	产	chan
81	亩	mu
82	享	xiang
83	京	jing
84	亭	ting
85	亮	liang
86	亲	qin
87	人	ren
88	亿	yi
89	什	shen
90	仁	ren
91	仅	jin
92	仆	pu
93	仇	chou
94	今	jin
95	介	jie
96	仍	reng
97	从	cong
98	仑	lun
99	仓	cang
100	仔	zai
101	他	ta
102	仗	zhang
103	付	fu
104	仙	xian
105	代	dai
106	令	ling
107	以	yi
108	仪	yi
109	们	men
110	仰	yang
111	仲	zhong
112	件	jian
113	价	jia
114	任	ren
115	份	fen
116	仿	fang
117	企	qi
118	伊	yi
119	伍	wu
120	伏	fu
121	伐	fa
122	休	xiu
123	众	zhong
124	优	you
125	伙	huo
126	会	hui
127	伞	san
128	伟	wei
129	传	chuan
130	伤	shang
131	伦	lun
132	伪	wei
133	伯	bo
134	估	gu
135	伴	ban
136	伶	ling
137	伸	shen
138	伺	ci
139	似	shi
140	佃	dian
141	但	dan
142	位	wei
143	低	di
144	住	zhu
145	佑	you
146	体	ti
147	何	he
148	余	yu
149	佛	fu
150	作	zuo
151	你	ni
152	佣	yong
153	佩	pei
154	佳	jia
155	使	shi
156	侄	zhi
157	侈	chi
158	例	li
159	侍	shi
160	供	gong
161	依	yi
162	侠	xia
163	侣	lv
164	侥	jiao
165	侦	zhen
166	侧	ce
167	侨	qiao
168	侮	wu
169	侯	hou
170	侵	qin
171	便	bian
172	促	cu
173	俄	e
174	俊	jun
175	俏	qiao
176	俐	li
177	俗	su
178	俘	fu
179	保	bao
180	信	xin
181	俩	lia
182	俭	jian
183	修	xiu
184	俯	fu
185	俱	ju
186	俺	an
187	倍	bei
188	倒	dao
189	倔	jue
190	倘	tang
191	候	hou
192	倚	yi
193	借	jie
194	倡	chang
195	倦	juan
196	债	zhai
197	值	zhi
198	倾	qing
199	假	jia
200	偎	wei
201	偏	pian
202	做	zuo
203	停	ting
204	健	jian
205	偶	ou
206	偷	tou
207	偿	chang
208	傀	gui
209	傅	fu
210	傍	bang
211	储	chu
212	催	cui
213	傲	ao
214	傻	sha
215	像	xiang
216	僚	liao
217	僧	seng
218	僵	jiang
219	僻	pi
220	儒	ru
221	儡	lei
222	儿	er
223	允	yun
224	元	yuan
225	兄	xiong
226	充	chong
227	兆	zhao
228	先	xian
229	光	guang
230	克	ke
231	免	mian
232	兑	dui
233	兔	tu
234	党	dang
235	兜	dou
236	兢	jing
237	入	ru
238	全	quan
239	八	ba
240	公	gong
241	六	liu
242	兰	lan
243	共	gong
244	关	guan
245	兴	xing
246	兵	bing
247	其	qi
248	具	ju
249	典	dian
250	养	yang
251	兼	jian
252	兽	shou
253	冀	ji
254	内	nei
255	冈	gang
256	册	ce
257	再	zai
258	冒	mao
259	冕	mian
260	冗	rong
261	写	xie
262	军	jun
263	农	nong
264	冠	guan
265	冤	yuan
266	冬	dong
267	冯	feng
268	冰	bing
269	冲	chong
270	决	jue
271	况	kuang
272	冶	ye
273	冷	leng
274	冻	dong
275	净	jing
276	凄	qi
277	准	zhun
278	凉	liang
279	凌	ling
280	减	jian
281	凑	cou
282	凛	lin
283	凝	ning
284	几	ji
285	凡	fan
286	凤	feng
287	凫	fu
288	凭	ping
289	凯	kai
290	凰	huang
291	凳	deng
292	凶	xiong
293	凸	tu
294	凹	ao
295	出	chu
296	击	ji
297	函	han
298	凿	zao
299	刀	dao
300	刁	diao
301	刃	ren
302	分	fen
303	切	qie
304	刊	kan
305	刑	xing
306	划	hua
307	列	lie
308	刘	liu
309	则	ze
310	刚	gang
311	创	chuang
312	初	chu
313	删	shan
314	判	pan
315	刨	pao
316	利	li
317	别	bie
318	刮	gua
319	到	dao
320	制	zhi
321	刷	shua
322	券	quan
323	刹	sha
324	刺	ci
325	刻	ke
326	刽	gui
327	剂	ji
328	剃	ti
329	削	xue
330	前	qian
331	剑	jian
332	剔	ti
333	剖	pou
334	剥	bo
335	剧	ju
336	剩	sheng
337	剪	jian
338	副	fu
339	割	ge
340	剿	jiao
341	劈	pi
342	力	li
343	劝	quan
344	办	ban
345	功	gong
346	加	jia
347	务	wu
348	劣	lie
349	动	dong
350	助	zhu
351	努	nu
352	劫	jie
353	励	li
354	劲	jin
355	劳	lao
356	势	shi
357	勃	bo
358	勇	yong
359	勉	mian
360	勋	xun
361	勒	lei
362	勘	kan
363	募	mu
364	勤	qin
365	勺	shao
366	勾	gou
367	勿	wu
368	匀	yun
369	包	bao
370	匆	cong
371	匈	xiong
372	匕	bi
373	化	hua
374	北	bei
375	匙	shi
376	匠	jiang
377	匣	xia
378	匪	fei
379	匹	pi
380	区	qu
381	医	yi
382	匾	bian
383	匿	ni
384	十	shi
385	千	qian
386	升	sheng
387	午	wu
388	半	ban
389	华	hua
390	协	xie
391	卑	bei
392	卒	zu
393	卓	zhuo
394	单	dan
395	卖	mai
396	南	nan
397	博	bo
398	卜	bo
399	占	zhan
400	卡	ka
401	卢	lu
402	卤	lu
403	卦	gua
404	卧	wo
405	卫	wei
406	印	yin
407	危	wei
408	即	ji
409	却	que
410	卵	luan
411	卷	juan
412	卸	xie
413	卿	qing
414	厂	chang
415	厅	ting
416	历	li
417	厉	li
418	压	ya
419	厌	yan
420	厕	ce
421	厘	li
422	厚	hou
423	原	yuan
424	厢	xiang
425	厦	sha
426	厨	chu
427	去	qu
428	县	xian
429	叁	san
430	参	can
431	又	you
432	叉	cha
433	及	ji
434	友	you
435	双	shuang
436	反	fan
437	发	fa
438	叔	shu
439	取	qu
440	受	shou
441	变	bian
442	叙	xu
443	叛	pan
444	叠	die
445	口	kou
446	古	gu
447	句	ju
448	另	ling
449	叨	dao
450	只	zhi
451	叫	jiao
452	召	zhao
453	叭	ba
454	叮	ding
455	可	ke
456	台	tai
457	史	shi
458	右	you
459	叶	ye
460	号	hao
461	司	si
462	叹	tan
463	叼	diao
464	叽	ji
465	吁	xu
466	吃	chi
467	各	ge
468	吆	yao
469	合	he
470	吉	ji
471	吊	diao
472	同	tong
473	名	ming
474	后	hou
475	吏	li
476	吐	tu
477	向	xiang
478	吓	xia
479	吕	lv
480	吗	ma
481	君	jun
482	吝	lin
483	吞	tun
484	吟	yin
485	吠	fei
486	否	fou
487	吧	ba
488	吨	dun
489	吩	fen
490	含	han
491	听	ting
492	吭	keng
493	吮	shun
494	启	qi
495	吱	zhi
496	吴	wu
497	吵	chao
498	吸	xi
499	吹	chui
500	吻	wen
501	吼	hou
502	呀	ya
503	呆	dai
504	呈	cheng
505	告	gao
506	呐	na
507	呕	ou
508	员	yuan
509	呛	qiang
510	呜	wu
511	呢	ne
512	周	zhou
513	味	wei
514	呵	he
515	呻	shen
516	呼	hu
517	命	ming
518	咆	pao
519	和	he
520	咏	yong
521	咐	fu
522	咒	zhou
523	咕	gu
524	咖	ka
525	咙	long
526	咧	lie
527	咨	zi
528	咪	mi
529	咬	yao
530	咱	zan
531	咳	ke
532	咸	xian
533	咽	yan
534	哀	ai
535	品	pin
536	哄	hong
537	哆	duo
538	哈	ha
539	响	xiang
540	哎	ai
541	哑	ya
542	哗	hua
543	哟	yo
544	哥	ge
545	哨	shao
546	哩	li
547	哪	na
548	哭	ku
549	哮	xiao
550	哲	zhe
551	哺	bu
552	哼	heng
553	唁	yan
554	唆	suo
555	唇	chun
556	唉	ai
557	唐	tang
558	唠	lao
559	唤	huan
560	唧	ji
561	唬	hu
562	售	shou
563	唯	wei
564	唱	chang
565	唾	tuo
566	啃	ken
567	啄	zhuo
568	商	shang
569	啊	a
570	啡	fei
571	啤	pi
572	啥	sha
573	啦	la
574	啰	luo
575	啸	xiao
576	啼	ti
577	喂	wei
578	善	shan
579	喇	la
580	喉	hou
581	喊	han
582	喘	chuan
583	喜	xi
584	喝	he
585	喧	xuan
586	喳	zha
587	喷	pen
588	喻	yu
589	嗅	xiu
590	嗓	sang
591	嗜	shi
592	嗡	weng
593	嗤	chi
594	嗦	suo
595	嗽	sou
596	嘀	di
597	嘁	qi
598	嘉	jia
599	嘱	zhu
600	嘲	chao
601	嘴	zui
602	嘶	si
603	嘹	liao
604	嘿	hei
605	器	qi
606	噩	e
607	噪	zao
608	嚎	hao
609	嚣	xiao
610	嚷	rang
611	嚼	jue
612	囊	nang
613	囚	qiu
614	四	si
615	回	hui
616	因	yin
617	团	tuan
618	囤	dun
619	园	yuan
620	困	kun
621	囱	cong
622	围	wei
623	固	gu
624	国	guo
625	图	tu
626	圃	pu
627	圆	yuan
628	圈	quan
629	土	tu
630	圣	sheng
631	在	zai
632	地	di
633	场	chang
634	圾	ji
635	址	zhi
636	均	jun
637	坊	fang
638	坎	kan
639	坏	huai
640	坐	zuo
641	坑	keng
642	块	kuai
643	坚	jian
644	坛	tan
645	坝	ba
646	坞	wu
647	坟	fen
648	坠	zhui
649	坡	po
650	坤	kun
651	坦	tan
652	坪	ping
653	坯	pi
654	坷	ke
655	垂	chui
656	垃	la
657	垄	long
658	型	xing
659	垒	lei
660	垛	duo
661	垢	gou
662	垦	ken
663	垫	dian
664	垮	kua
665	埂	geng
666	埃	ai
667	埋	mai
668	城	cheng
669	域	yu
670	埠	bu
671	培	pei
672	基	ji
673	堂	tang
674	堆	dui
675	堕	duo
676	堡	bao
677	堤	di
678	堪	kan
679	堰	yan
680	堵	du
681	塌	ta
682	塑	su
683	塔	ta
684	塘	tang
685	塞	sai
686	填	tian
687	境	jing
688	墅	shu
689	墓	mu
690	墙	qiang
691	增	zeng
692	墨	mo
693	墩	dun
694	壁	bi
695	壕	hao
696	壤	rang
697	士	shi
698	壮	zhuang
699	声	sheng
700	壳	ke
701	壶	hu
702	壹	yi
703	处	chu
704	备	bei
705	复	fu
706	夏	xia
707	夕	xi
708	外	wai
709	多	duo
710	夜	ye
711	够	gou
712	大	da
713	天	tian
714	太	tai
715	夫	fu
716	夭	yao
717	央	yang
718	夯	hang
719	失	shi
720	头	tou
721	夷	yi
722	夸	kua
723	夹	jia
724	夺	duo
725	奄	yan
726	奇	qi
727	奈	nai
728	奉	feng
729	奋	fen
730	奏	zou
731	契	qi
732	奔	ben
733	奕	yi
734	奖	jiang
735	套	tao
736	奠	dian
737	奢	she
738	奥	ao
739	女	nv
740	奴	nu
741	奶	nai
742	奸	jian
743	她	ta
744	好	hao
745	如	ru
746	妄	wang
747	妆	zhuang
748	妇	fu
749	妈	ma
750	妒	du
751	妓	ji
752	妖	yao
753	妙	miao
754	妥	tuo
755	妨	fang
756	妹	mei
757	妻	qi
758	姆	mu
759	姊	zi
760	始	shi
761	姐	jie
762	姑	gu
763	姓	xing
764	委	wei
765	姚	yao
766	姜	jiang
767	姥	lao
768	姨	yi
769	姻	yin
770	姿	zi
771	威	wei
772	娃	wa
773	娄	lou
774	娇	jiao
775	娘	niang
776	娜	na
777	娩	mian
778	娱	yu
779	娶	qu
780	婆	po
